,Agent,Monster,Tree2,Tree7,Tree12,Tree17,Tree22
1246,1.0,4.0,0.0,2.0,1.0,2.0,2.0
1247,1.0,4.0,2.0,1.0,1.0,2.0,1.0
1248,6.0,3.0,2.0,2.0,1.0,1.0,1.0
1249,21.0,23.0,1.0,2.0,2.0,1.0,0.0
1250,11.0,14.0,2.0,0.0,0.0,1.0,1.0
1251,11.0,14.0,1.0,1.0,0.0,1.0,1.0
1252,11.0,14.0,2.0,1.0,0.0,0.0,2.0
1253,6.0,3.0,2.0,1.0,1.0,1.0,2.0
1254,16.0,19.0,1.0,2.0,1.0,0.0,0.0
1255,16.0,19.0,1.0,2.0,1.0,2.0,1.0
1256,21.0,23.0,2.0,0.0,0.0,1.0,1.0
1257,21.0,23.0,0.0,0.0,0.0,2.0,0.0
1258,21.0,23.0,2.0,1.0,1.0,0.0,1.0
1259,11.0,13.0,0.0,0.0,0.0,0.0,0.0
1260,5.0,8.0,2.0,0.0,1.0,1.0,2.0
1261,6.0,9.0,2.0,1.0,2.0,2.0,0.0
1262,20.0,23.0,2.0,0.0,2.0,2.0,1.0
1263,5.0,4.0,0.0,0.0,0.0,2.0,2.0
1264,6.0,9.0,0.0,1.0,2.0,0.0,2.0
1265,11.0,8.0,2.0,2.0,2.0,1.0,0.0
1266,16.0,18.0,1.0,1.0,2.0,0.0,0.0
1267,0.0,4.0,2.0,0.0,0.0,1.0,2.0
1268,11.0,14.0,2.0,1.0,2.0,2.0,2.0
1269,0.0,3.0,0.0,2.0,0.0,1.0,2.0
1270,6.0,8.0,0.0,0.0,1.0,2.0,1.0
1271,11.0,13.0,2.0,1.0,1.0,2.0,2.0
1272,11.0,14.0,1.0,2.0,2.0,0.0,1.0
1273,6.0,3.0,1.0,1.0,0.0,2.0,1.0
1274,5.0,4.0,0.0,2.0,1.0,0.0,2.0
1275,6.0,8.0,1.0,2.0,0.0,1.0,2.0
1276,11.0,13.0,0.0,0.0,0.0,0.0,2.0
1277,1.0,3.0,1.0,1.0,2.0,1.0,1.0
1278,5.0,9.0,0.0,2.0,0.0,0.0,2.0
1279,11.0,14.0,2.0,2.0,0.0,1.0,1.0
1280,16.0,19.0,2.0,1.0,0.0,0.0,2.0
1281,1.0,3.0,2.0,1.0,2.0,1.0,0.0
1282,11.0,14.0,0.0,1.0,1.0,1.0,0.0
1283,11.0,14.0,2.0,0.0,0.0,2.0,0.0
1284,16.0,23.0,2.0,1.0,1.0,1.0,1.0
1285,11.0,13.0,1.0,2.0,0.0,2.0,1.0
1286,6.0,8.0,2.0,1.0,0.0,0.0,2.0
1287,6.0,4.0,1.0,1.0,1.0,1.0,0.0
1288,6.0,4.0,2.0,2.0,1.0,0.0,0.0
1289,1.0,3.0,1.0,1.0,0.0,2.0,1.0
1290,16.0,19.0,1.0,1.0,1.0,0.0,0.0
1291,11.0,14.0,1.0,0.0,0.0,1.0,1.0
1292,0.0,3.0,1.0,2.0,2.0,1.0,2.0
1293,11.0,14.0,0.0,1.0,1.0,2.0,1.0
1294,1.0,4.0,1.0,1.0,2.0,1.0,1.0
1295,11.0,14.0,2.0,1.0,0.0,0.0,0.0
1296,11.0,14.0,0.0,1.0,0.0,1.0,0.0
1297,1.0,4.0,0.0,2.0,2.0,0.0,1.0
1298,11.0,13.0,1.0,2.0,1.0,1.0,2.0
1299,16.0,18.0,2.0,0.0,2.0,1.0,1.0
1300,21.0,23.0,0.0,1.0,2.0,0.0,2.0
1301,16.0,18.0,1.0,2.0,0.0,1.0,1.0
1302,6.0,9.0,1.0,0.0,2.0,2.0,1.0
1303,1.0,4.0,2.0,1.0,1.0,2.0,2.0
1304,11.0,13.0,0.0,0.0,0.0,2.0,1.0
1305,16.0,18.0,2.0,1.0,1.0,0.0,2.0
1306,16.0,19.0,2.0,1.0,2.0,0.0,0.0
1307,15.0,19.0,1.0,0.0,2.0,1.0,1.0
1308,1.0,3.0,0.0,2.0,1.0,1.0,0.0
1309,6.0,9.0,1.0,0.0,1.0,0.0,0.0
1310,6.0,8.0,2.0,0.0,0.0,2.0,1.0
1311,16.0,19.0,0.0,1.0,2.0,0.0,1.0
1312,1.0,3.0,1.0,2.0,2.0,2.0,1.0
1313,5.0,3.0,1.0,1.0,2.0,2.0,1.0
1314,16.0,18.0,0.0,1.0,0.0,0.0,0.0
1315,6.0,8.0,0.0,0.0,2.0,1.0,2.0
1316,6.0,9.0,0.0,2.0,0.0,0.0,2.0
1317,11.0,14.0,2.0,2.0,1.0,2.0,1.0
1318,1.0,3.0,2.0,0.0,2.0,1.0,1.0
1319,11.0,13.0,1.0,2.0,1.0,2.0,0.0
1320,6.0,8.0,2.0,1.0,1.0,1.0,2.0
1321,1.0,4.0,0.0,2.0,0.0,2.0,0.0
1322,6.0,8.0,0.0,2.0,1.0,2.0,1.0
1323,16.0,18.0,1.0,2.0,2.0,1.0,2.0
1324,11.0,14.0,1.0,0.0,0.0,2.0,0.0
1325,16.0,18.0,2.0,2.0,2.0,0.0,2.0
1326,6.0,8.0,1.0,1.0,1.0,1.0,2.0
1327,6.0,9.0,0.0,1.0,2.0,0.0,2.0
1328,11.0,13.0,1.0,2.0,1.0,2.0,1.0
1329,6.0,8.0,0.0,0.0,2.0,2.0,1.0
1330,20.0,23.0,2.0,0.0,2.0,2.0,1.0
1331,16.0,18.0,0.0,1.0,0.0,1.0,1.0
1332,5.0,8.0,2.0,0.0,0.0,2.0,1.0
1333,5.0,9.0,2.0,2.0,2.0,2.0,1.0
1334,21.0,23.0,0.0,2.0,1.0,2.0,1.0
1335,1.0,3.0,0.0,1.0,0.0,2.0,0.0
1336,11.0,13.0,2.0,2.0,0.0,2.0,2.0
1337,6.0,9.0,2.0,0.0,2.0,0.0,1.0
1338,1.0,3.0,0.0,1.0,2.0,1.0,1.0
1339,1.0,3.0,1.0,2.0,0.0,2.0,2.0
1340,1.0,4.0,1.0,2.0,2.0,1.0,1.0
1341,11.0,13.0,1.0,1.0,0.0,1.0,1.0
1342,16.0,19.0,0.0,2.0,1.0,1.0,2.0
1343,0.0,4.0,1.0,2.0,1.0,2.0,0.0
1344,15.0,19.0,1.0,0.0,0.0,0.0,0.0
1345,16.0,23.0,0.0,1.0,1.0,1.0,2.0
1346,1.0,3.0,1.0,2.0,2.0,1.0,2.0
1347,0.0,4.0,1.0,0.0,1.0,2.0,1.0
1348,6.0,8.0,2.0,1.0,1.0,2.0,1.0
1349,16.0,18.0,2.0,2.0,1.0,2.0,0.0
1350,11.0,13.0,2.0,2.0,2.0,0.0,2.0
1351,16.0,19.0,2.0,0.0,0.0,2.0,2.0
1352,1.0,3.0,0.0,1.0,0.0,1.0,2.0
1353,1.0,3.0,1.0,1.0,0.0,0.0,1.0
1354,11.0,13.0,1.0,2.0,2.0,0.0,2.0
1355,6.0,9.0,2.0,0.0,0.0,1.0,0.0
1356,6.0,9.0,2.0,0.0,1.0,1.0,1.0
1357,11.0,13.0,2.0,0.0,2.0,1.0,2.0
1358,6.0,8.0,2.0,2.0,0.0,2.0,0.0
1359,11.0,13.0,1.0,0.0,0.0,1.0,0.0
1360,11.0,14.0,0.0,2.0,0.0,1.0,0.0
1361,6.0,8.0,2.0,0.0,1.0,2.0,2.0
1362,16.0,19.0,2.0,1.0,2.0,1.0,0.0
1363,1.0,4.0,0.0,1.0,0.0,1.0,1.0
1364,11.0,13.0,2.0,0.0,0.0,0.0,2.0
1365,15.0,23.0,1.0,2.0,0.0,1.0,1.0
1366,6.0,8.0,2.0,2.0,0.0,0.0,2.0
1367,20.0,23.0,2.0,0.0,1.0,0.0,1.0
1368,20.0,23.0,2.0,1.0,1.0,0.0,1.0
1369,0.0,3.0,0.0,2.0,2.0,0.0,2.0
1370,1.0,4.0,1.0,2.0,2.0,1.0,0.0
1371,5.0,8.0,1.0,1.0,2.0,1.0,2.0
1372,16.0,18.0,0.0,0.0,1.0,0.0,2.0
1373,15.0,23.0,1.0,1.0,0.0,2.0,1.0
1374,11.0,14.0,2.0,1.0,0.0,2.0,2.0
1375,6.0,9.0,1.0,2.0,2.0,2.0,1.0
1376,11.0,14.0,1.0,2.0,0.0,2.0,1.0
1377,6.0,8.0,0.0,1.0,2.0,2.0,0.0
1378,16.0,23.0,2.0,1.0,2.0,0.0,0.0
1379,15.0,19.0,2.0,1.0,1.0,0.0,1.0
1380,16.0,18.0,1.0,1.0,1.0,1.0,1.0
1381,6.0,8.0,0.0,2.0,2.0,0.0,2.0
1382,11.0,13.0,0.0,2.0,1.0,2.0,1.0
1383,11.0,13.0,1.0,2.0,0.0,2.0,1.0
1384,11.0,14.0,1.0,1.0,0.0,1.0,0.0
1385,15.0,23.0,0.0,2.0,0.0,2.0,0.0
1386,5.0,8.0,1.0,0.0,1.0,0.0,1.0
1387,11.0,13.0,2.0,0.0,0.0,0.0,0.0
1388,21.0,23.0,0.0,2.0,2.0,2.0,1.0
1389,11.0,13.0,1.0,0.0,0.0,1.0,1.0
1390,6.0,9.0,2.0,0.0,2.0,1.0,1.0
1391,6.0,8.0,2.0,2.0,1.0,1.0,2.0
1392,16.0,19.0,1.0,1.0,2.0,0.0,0.0
1393,0.0,3.0,1.0,2.0,2.0,2.0,2.0
1394,6.0,9.0,2.0,1.0,1.0,1.0,1.0
1395,6.0,8.0,0.0,0.0,0.0,1.0,2.0
1396,11.0,14.0,2.0,1.0,0.0,1.0,1.0
1397,6.0,8.0,0.0,2.0,2.0,1.0,2.0
1398,6.0,8.0,1.0,0.0,1.0,2.0,1.0
1399,0.0,4.0,2.0,2.0,2.0,2.0,2.0
1400,21.0,23.0,1.0,0.0,2.0,1.0,0.0
1401,21.0,23.0,2.0,2.0,1.0,0.0,1.0
1402,16.0,23.0,0.0,1.0,0.0,0.0,1.0
1403,16.0,18.0,1.0,0.0,1.0,0.0,1.0
1404,1.0,3.0,2.0,1.0,2.0,2.0,1.0
1405,21.0,23.0,0.0,1.0,2.0,2.0,2.0
1406,0.0,4.0,1.0,1.0,0.0,0.0,1.0
1407,15.0,18.0,2.0,1.0,2.0,0.0,2.0
