Fact id,Fact,SF,Fact_readable,SF_readable,Fact actions,Recourse,uncertainty,fidelity,sparsity,num_cfs,exceptionality,Value,Found
873,"[1.0, 3.0, 1.0, 2.0, 1.0, 0.0, 1.0]","[5.0, 3.0, 1.0, 2.0, 1.0, 0.0, 1.0]","Agent: 1.0 Monster: 3.0 Trees: [{2: 1}, {7: 2}, {12: 1}, {22: 1}]","Agent: 5.0 Monster: 3.0 Trees: [{2: 1}, {7: 2}, {12: 1}, {22: 1}]","[3, 3, 0]","[2, 2, 3]",0.1,0.1718833806614081,1.0,False,1.0,0,1
895,"[16.0, 18.0, 1.0, 2.0, 2.0, 0.0, 0.0]","[20.0, 18.0, 1.0, 2.0, 2.0, 0.0, 0.0]","Agent: 16.0 Monster: 18.0 Trees: [{2: 1}, {7: 2}, {12: 2}]","Agent: 20.0 Monster: 18.0 Trees: [{2: 1}, {7: 2}, {12: 2}]","[1, 0, 4]","[2, 1, 2]",0.3,0.05050447738418976,1.0,False,1.0,0,1
925,"[16.0, 19.0, 0.0, 1.0, 1.0, 2.0, 1.0]","[15.0, 19.0, 0.0, 1.0, 1.0, 2.0, 1.0]","Agent: 16.0 Monster: 19.0 Trees: [{7: 1}, {12: 1}, {17: 2}, {22: 1}]","Agent: 15.0 Monster: 19.0 Trees: [{7: 1}, {12: 1}, {17: 2}, {22: 1}]","[1, 1, 0]","[4, 2, -1]",0.2,0.35276516154408455,0.6666666666666666,False,0.75,0,1
925,"[16.0, 19.0, 0.0, 1.0, 1.0, 2.0, 1.0]","[15.0, 19.0, 0.0, 1.0, 1.0, 2.0, 1.0]","Agent: 16.0 Monster: 19.0 Trees: [{7: 1}, {12: 1}, {17: 2}, {22: 1}]","Agent: 15.0 Monster: 19.0 Trees: [{7: 1}, {12: 1}, {17: 2}, {22: 1}]","[1, 1, 0]","[1, 5, 1]",0.1,0.4473253800921763,1.0,False,1.0,0,1
957,"[6.0, 9.0, 2.0, 0.0, 0.0, 1.0, 0.0]","[20.0, 9.0, 2.0, 0.0, 0.0, 1.0, 0.0]","Agent: 6.0 Monster: 9.0 Trees: [{2: 2}, {17: 1}]","Agent: 20.0 Monster: 9.0 Trees: [{2: 2}, {17: 1}]","[1, 0, 4]",,1.0,1.0,1.0,1,1.0,0,0
960,"[11.0, 13.0, 1.0, 0.0, 0.0, 2.0, 2.0]","[15.0, 13.0, 1.0, 0.0, 0.0, 2.0, 2.0]","Agent: 11.0 Monster: 13.0 Trees: [{2: 1}, {17: 2}, {22: 2}]","Agent: 15.0 Monster: 13.0 Trees: [{2: 1}, {17: 2}, {22: 2}]","[3, 0, 4]","[1, 2, 2]",0.5,0.09000615340967973,1.0,False,1.0,0,1
960,"[11.0, 13.0, 1.0, 0.0, 0.0, 2.0, 2.0]","[15.0, 13.0, 1.0, 0.0, 0.0, 2.0, 2.0]","Agent: 11.0 Monster: 13.0 Trees: [{2: 1}, {17: 2}, {22: 2}]","Agent: 15.0 Monster: 13.0 Trees: [{2: 1}, {17: 2}, {22: 2}]","[3, 0, 4]","[3, 2, 1]",0.2,0.27263734862208366,1.0,False,1.0,0,1
990,"[6.0, 9.0, 2.0, 2.0, 1.0, 1.0, 0.0]","[11.0, 9.0, 2.0, 2.0, 1.0, 1.0, 0.0]","Agent: 6.0 Monster: 9.0 Trees: [{2: 2}, {7: 2}, {12: 1}, {17: 1}]","Agent: 11.0 Monster: 9.0 Trees: [{2: 2}, {7: 2}, {12: 1}, {17: 1}]","[3, 3, 3]","[1, -1, -1]",0.8,0.06189894676208496,0.3333333333333333,False,1.0,0,1
990,"[6.0, 9.0, 2.0, 2.0, 1.0, 1.0, 0.0]","[11.0, 9.0, 2.0, 2.0, 1.0, 1.0, 0.0]","Agent: 6.0 Monster: 9.0 Trees: [{2: 2}, {7: 2}, {12: 1}, {17: 1}]","Agent: 11.0 Monster: 9.0 Trees: [{2: 2}, {7: 2}, {12: 1}, {17: 1}]","[3, 3, 3]","[3, 3, 0]",0.1,0.45903755724430084,1.0,False,1.0,0,1
1048,"[16.0, 19.0, 2.0, 1.0, 1.0, 0.0, 0.0]","[15.0, 19.0, 2.0, 1.0, 1.0, 0.0, 0.0]","Agent: 16.0 Monster: 19.0 Trees: [{2: 2}, {7: 1}, {12: 1}]","Agent: 15.0 Monster: 19.0 Trees: [{2: 2}, {7: 1}, {12: 1}]","[3, 0, 4]","[0, 2, 2]",0.1,0.08628535270690918,1.0,False,1.0,0,1
