Fact id,Fact,SF,Fact_readable,SF_readable,Fact actions,Recourse,sparsity,fidelity,exceptionality,uncertainty,num_cfs,Value,Found
1083,"[11.0, 13.0, 0.0, 2.0, 0.0, 2.0, 0.0]","[5.0, 13.0, 0.0, 2.0, 0.0, 2.0, 0.0]","Agent: 11.0 Monster: 13.0 Trees: [{7: 2}, {17: 2}]","Agent: 5.0 Monster: 13.0 Trees: [{7: 2}, {17: 2}]","[3, 3, 4]","[3, 2, 5]",1.0,0.01590922703811278,1.0,0.1,False,0,1
1087,"[16.0, 18.0, 0.0, 0.0, 2.0, 2.0, 2.0]","[15.0, 18.0, 0.0, 0.0, 2.0, 2.0, 2.0]","Agent: 16.0 Monster: 18.0 Trees: [{12: 2}, {17: 2}, {22: 2}]","Agent: 15.0 Monster: 18.0 Trees: [{12: 2}, {17: 2}, {22: 2}]","[1, 1, 1]","[2, 0, 2]",1.0,0.1989942491054535,1.0,0.3,False,0,1
1087,"[16.0, 18.0, 0.0, 0.0, 2.0, 2.0, 2.0]","[15.0, 18.0, 0.0, 0.0, 2.0, 2.0, 2.0]","Agent: 16.0 Monster: 18.0 Trees: [{12: 2}, {17: 2}, {22: 2}]","Agent: 15.0 Monster: 18.0 Trees: [{12: 2}, {17: 2}, {22: 2}]","[1, 1, 1]","[0, 2, 2]",1.0,0.13107454776763916,1.0,0.1,False,0,1
1087,"[16.0, 18.0, 0.0, 0.0, 2.0, 2.0, 2.0]","[15.0, 18.0, 0.0, 0.0, 2.0, 2.0, 2.0]","Agent: 16.0 Monster: 18.0 Trees: [{12: 2}, {17: 2}, {22: 2}]","Agent: 15.0 Monster: 18.0 Trees: [{12: 2}, {17: 2}, {22: 2}]","[1, 1, 1]","[1, 2, 3]",1.0,0.1727150815228621,1.0,0.3,False,0,1
1095,"[21.0, 23.0, 2.0, 0.0, 1.0, 1.0, 0.0]","[20.0, 23.0, 2.0, 0.0, 1.0, 1.0, 0.0]","Agent: 21.0 Monster: 23.0 Trees: [{2: 2}, {12: 1}, {17: 1}]","Agent: 20.0 Monster: 23.0 Trees: [{2: 2}, {12: 1}, {17: 1}]","[0, 1, 4]","[3, 2, 1]",1.0,0.28794450343896943,0.8888888888888888,0.3,False,0,1
1095,"[21.0, 23.0, 2.0, 0.0, 1.0, 1.0, 0.0]","[20.0, 23.0, 2.0, 0.0, 1.0, 1.0, 0.0]","Agent: 21.0 Monster: 23.0 Trees: [{2: 2}, {12: 1}, {17: 1}]","Agent: 20.0 Monster: 23.0 Trees: [{2: 2}, {12: 1}, {17: 1}]","[0, 1, 4]","[4, 2, -1]",0.6666666666666666,0.08229290693998337,0.54,0.5,False,0,1
1095,"[21.0, 23.0, 2.0, 0.0, 1.0, 1.0, 0.0]","[20.0, 23.0, 2.0, 0.0, 1.0, 1.0, 0.0]","Agent: 21.0 Monster: 23.0 Trees: [{2: 2}, {12: 1}, {17: 1}]","Agent: 20.0 Monster: 23.0 Trees: [{2: 2}, {12: 1}, {17: 1}]","[0, 1, 4]","[2, 3, 1]",1.0,0.3036915970345338,0.8888888888888888,0.2,False,0,1
1111,"[6.0, 9.0, 1.0, 2.0, 2.0, 2.0, 2.0]","[5.0, 9.0, 1.0, 2.0, 2.0, 2.0, 2.0]","Agent: 6.0 Monster: 9.0 Trees: [{2: 1}, {7: 2}, {12: 2}, {17: 2}, {22: 2}]","Agent: 5.0 Monster: 9.0 Trees: [{2: 1}, {7: 2}, {12: 2}, {17: 2}, {22: 2}]","[3, 3, 3]","[2, 4, 4]",1.0,0.11116594076156616,1.0,1.0,False,0,1
1111,"[6.0, 9.0, 1.0, 2.0, 2.0, 2.0, 2.0]","[0.0, 9.0, 1.0, 2.0, 2.0, 2.0, 2.0]","Agent: 6.0 Monster: 9.0 Trees: [{2: 1}, {7: 2}, {12: 2}, {17: 2}, {22: 2}]","Agent: 0.0 Monster: 9.0 Trees: [{2: 1}, {7: 2}, {12: 2}, {17: 2}, {22: 2}]","[3, 3, 3]","[3, 2, 5]",1.0,0.03239500344110032,1.0,1.0,False,0,1
1111,"[6.0, 9.0, 1.0, 2.0, 2.0, 2.0, 2.0]","[15.0, 9.0, 1.0, 2.0, 2.0, 2.0, 2.0]","Agent: 6.0 Monster: 9.0 Trees: [{2: 1}, {7: 2}, {12: 2}, {17: 2}, {22: 2}]","Agent: 15.0 Monster: 9.0 Trees: [{2: 1}, {7: 2}, {12: 2}, {17: 2}, {22: 2}]","[3, 3, 3]","[1, 1, 2]",1.0,0.04717643993596236,1.0,1.0,False,0,1
1111,"[6.0, 9.0, 1.0, 2.0, 2.0, 2.0, 2.0]","[15.0, 9.0, 1.0, 2.0, 2.0, 2.0, 2.0]","Agent: 6.0 Monster: 9.0 Trees: [{2: 1}, {7: 2}, {12: 2}, {17: 2}, {22: 2}]","Agent: 15.0 Monster: 9.0 Trees: [{2: 1}, {7: 2}, {12: 2}, {17: 2}, {22: 2}]","[3, 3, 3]","[4, 3, 2]",1.0,0.16343223148336014,1.0,0.1,False,0,1
1153,"[16.0, 23.0, 2.0, 2.0, 1.0, 0.0, 2.0]","[11.0, 23.0, 2.0, 2.0, 1.0, 0.0, 2.0]","Agent: 16.0 Monster: 23.0 Trees: [{2: 2}, {7: 2}, {12: 1}, {22: 2}]","Agent: 11.0 Monster: 23.0 Trees: [{2: 2}, {7: 2}, {12: 1}, {22: 2}]","[1, 1, 1]","[2, 0, 3]",1.0,0.13388058419028917,1.0,0.3,False,0,1
