,Fact id,Fact,SF,Fact actions,Recourse,fidelity,uncertainty,num_cfs,sparsity,exceptionality,Value
123,112,"[18, 9, 10, 11, 12, 15, 16, 17]","[21, 9, 10, 11, 12, 15, 16, 17]","[3, 0, 0]","[0, 1, 0]",0.23688999315102896,1.0,False,1.0,0.3621933621933622,0
124,112,"[18, 9, 10, 11, 12, 15, 16, 17]","[20, 9, 10, 11, 12, 15, 16, 17]","[3, 0, 0]","[0, 1, 2]",0.08878638471166293,0.8,False,1.0,0.36509511993382954,0
125,128,"[17, 16, 10, 11, 12, 15, 16, 17]","[14, 16, 10, 11, 12, 15, 16, 17]","[1, 2, 2]","[0, 4, -1]",0.07813015580177307,1.0,False,0.6666666666666666,0.5263157894736842,0
126,128,"[17, 16, 10, 11, 12, 15, 16, 17]","[4, 16, 10, 11, 12, 15, 16, 17]","[1, 2, 2]","[-1, 3, 3]",0.13276683911681175,1.0,False,0.6666666666666666,0.03399122807017543,0
127,129,"[13, 7, 10, 11, 12, 15, 16, 17]","[20, 7, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[2, 4, 2]",0.03826441367467245,1.0,False,1.0,0.36111111111111116,0
128,129,"[13, 7, 10, 11, 12, 15, 16, 17]","[21, 7, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[4, 2, -1]",0.025463515892624855,1.0,False,0.6666666666666666,1.0,0
129,129,"[13, 7, 10, 11, 12, 15, 16, 17]","[17, 7, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[0, 3, 2]",0.3079539363582929,1.0,False,1.0,0.31889564336372844,0
130,129,"[13, 7, 10, 11, 12, 15, 16, 17]","[16, 7, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[3, 2, -1]",0.42075563967227936,1.0,False,0.6666666666666666,0.4541208791208792,0
131,130,"[3, 2, 10, 11, 12, 15, 16, 17]","[15, 2, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[1, 2, 0]",0.11081037670373917,0.9,False,1.0,0.34927536231884054,0
132,130,"[3, 2, 10, 11, 12, 15, 16, 17]","[17, 2, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[1, 2, 0]",0.1526919479171435,0.9,False,1.0,0.3468321801655135,0
133,130,"[3, 2, 10, 11, 12, 15, 16, 17]","[23, 2, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[1, 2, 0]",0.09129719187815984,0.9,False,1.0,1.0,0
134,130,"[3, 2, 10, 11, 12, 15, 16, 17]","[9, 2, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[2, 0, 3]",0.26677459975083667,0.8,False,1.0,0.31856527638487403,0
135,130,"[3, 2, 10, 11, 12, 15, 16, 17]","[3, 2, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[2, 0, 3]",0.2832491422692935,0.8,False,1.0,0.3026213430501578,0
136,130,"[3, 2, 10, 11, 12, 15, 16, 17]","[6, 2, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[1, 4, 3]",0.211866012463967,0.9,False,1.0,0.1603864734299517,0
137,130,"[3, 2, 10, 11, 12, 15, 16, 17]","[14, 2, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[0, 0, 4]",0.10281014163047075,1.0,False,1.0,0.03483898032892193,0
138,130,"[3, 2, 10, 11, 12, 15, 16, 17]","[16, 2, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[-1, 0, 1]",0.12010455131530762,1.0,False,0.6666666666666666,0.02391304347826087,0
139,133,"[1, 5, 10, 11, 12, 15, 16, 17]","[4, 5, 10, 11, 12, 15, 16, 17]","[2, 2, 2]","[-1, -1, 3]",0.0850893184542656,1.0,False,0.3333333333333333,0.03571428571428571,0
140,137,"[17, 15, 10, 11, 12, 15, 16, 17]","[9, 15, 10, 11, 12, 15, 16, 17]","[2, 1, 2]","[4, 3, 0]",0.11342282717426617,1.0,False,1.0,0.0423076923076923,0
141,137,"[17, 15, 10, 11, 12, 15, 16, 17]","[8, 15, 10, 11, 12, 15, 16, 17]","[2, 1, 2]","[2, 3, -1]",0.22492149844765663,1.0,False,0.6666666666666666,0.3972736124634859,0
142,137,"[17, 15, 10, 11, 12, 15, 16, 17]","[24, 15, 10, 11, 12, 15, 16, 17]","[2, 1, 2]","[1, 0, 1]",0.20639009277025858,1.0,False,1.0,0.03798670465337132,0
143,137,"[17, 15, 10, 11, 12, 15, 16, 17]","[4, 15, 10, 11, 12, 15, 16, 17]","[2, 1, 2]","[-1, 3, 3]",0.15349635854363441,1.0,False,0.6666666666666666,0.5128205128205128,0
144,141,"[12, 20, 10, 11, 12, 15, 16, 17]","[9, 20, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[-1, 0, 0]",0.09733051992952824,1.0,False,0.6666666666666666,0.04321705426356589,0
145,141,"[12, 20, 10, 11, 12, 15, 16, 17]","[4, 20, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[0, 0, 3]",0.08843390767772992,1.0,False,1.0,0.03605774632063813,0
146,141,"[12, 20, 10, 11, 12, 15, 16, 17]","[3, 20, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[-1, 0, 3]",0.10834183171391487,1.0,False,0.6666666666666666,0.019961240310077517,0
147,146,"[13, 17, 10, 11, 12, 15, 16, 17]","[17, 17, 10, 11, 12, 15, 16, 17]","[3, 4, 1]","[3, 1, 4]",0.2649412223448356,0.9,False,1.0,0.2789784396384711,0
148,146,"[13, 17, 10, 11, 12, 15, 16, 17]","[13, 17, 10, 11, 12, 15, 16, 17]","[3, 4, 1]","[3, 1, 3]",0.26197382745643455,0.8,False,1.0,0.2823667976507373,0
149,146,"[13, 17, 10, 11, 12, 15, 16, 17]","[12, 17, 10, 11, 12, 15, 16, 17]","[3, 4, 1]","[-1, 3, 2]",0.3949405550956726,0.7,False,0.6666666666666666,0.4175465838509317,0
150,146,"[13, 17, 10, 11, 12, 15, 16, 17]","[24, 17, 10, 11, 12, 15, 16, 17]","[3, 4, 1]","[0, 4, 0]",0.05677281374422213,1.0,False,1.0,0.02983242077318733,0
151,151,"[8, 4, 10, 11, 12, 15, 16, 17]","[24, 4, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[1, 0, 4]",0.036091638108094536,1.0,False,1.0,0.6825396825396824,0
152,151,"[8, 4, 10, 11, 12, 15, 16, 17]","[23, 4, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[0, 2, -1]",0.09931721910834312,1.0,False,0.6666666666666666,0.525,0
153,151,"[8, 4, 10, 11, 12, 15, 16, 17]","[18, 4, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[3, 4, -1]",0.4138479600660503,1.0,False,0.6666666666666666,0.4444444444444444,0
154,151,"[8, 4, 10, 11, 12, 15, 16, 17]","[22, 4, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[4, 1, 2]",0.045524342296024166,1.0,False,1.0,0.38095238095238093,0
155,152,"[17, 5, 10, 11, 12, 15, 16, 17]","[17, 5, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[3, 3, 0]",0.466458843400081,1.0,False,1.0,0.21338383838383843,0
156,152,"[17, 5, 10, 11, 12, 15, 16, 17]","[6, 5, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[-1, 4, 1]",0.013717950438149273,1.0,False,0.6666666666666666,1.0,0
157,152,"[17, 5, 10, 11, 12, 15, 16, 17]","[12, 5, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[4, 0, 1]",0.09934570764501889,1.0,False,1.0,0.3434343434343434,0
158,152,"[17, 5, 10, 11, 12, 15, 16, 17]","[16, 5, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[0, 4, 1]",0.04632334286967913,1.0,False,1.0,0.346938775510204,0
159,152,"[17, 5, 10, 11, 12, 15, 16, 17]","[19, 5, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[2, 4, 0]",0.08311328416069348,1.0,False,1.0,0.34612573099415206,0
160,153,"[3, 0, 10, 11, 12, 15, 16, 17]","[18, 0, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[2, 0, -1]",0.24748951196670532,1.0,False,0.6666666666666666,0.052655677655677656,0
161,153,"[3, 0, 10, 11, 12, 15, 16, 17]","[23, 0, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[3, 1, 1]",0.18327583993474642,1.0,False,1.0,0.2797060662914322,0
162,153,"[3, 0, 10, 11, 12, 15, 16, 17]","[19, 0, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[1, 0, 3]",0.19056816274921098,1.0,False,1.0,0.2794871794871795,0
163,153,"[3, 0, 10, 11, 12, 15, 16, 17]","[24, 0, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[1, 1, 0]",0.09823115045825641,1.0,False,1.0,0.3564102564102564,0
